epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1156.04,1.90758,2.25541,1.97611,0.48393,0.4596,0.42758,0.1704,2.01633,1.97735,1.97819,0.0069805,0.0069805,0.0069805
63,1178.55,1.90135,2.23531,1.95477,0.49168,0.46985,0.45395,0.1845,2.00041,1.8813,1.94138,0.006931,0.006931,0.006931
64,1200.43,1.88954,2.19872,1.94957,0.47637,0.52982,0.46752,0.19942,1.96145,1.83679,1.88599,0.0068815,0.0068815,0.0068815
65,1222.9,1.87585,2.20484,1.94072,0.35677,0.49543,0.42878,0.17043,1.99276,1.85333,1.90247,0.006832,0.006832,0.006832
66,1245.26,1.92371,2.27298,1.97632,0.46113,0.43874,0.45096,0.18393,2.02476,1.89997,1.91172,0.0067825,0.0067825,0.0067825
67,1267.66,1.88114,2.17717,1.93079,0.43566,0.48815,0.42127,0.16459,2.06545,1.93614,1.98364,0.006733,0.006733,0.006733
68,1289.85,1.88227,2.20383,1.93623,0.44589,0.5121,0.41816,0.17422,2.00253,1.8624,1.90426,0.0066835,0.0066835,0.0066835
69,1308.2,1.86898,2.17017,1.93638,0.5186,0.49635,0.48506,0.1996,2.00355,1.8299,1.89608,0.006634,0.006634,0.006634
70,1324.54,1.87426,2.1193,1.9309,0.43403,0.53147,0.48619,0.20657,1.99734,1.7571,1.87495,0.0065845,0.0065845,0.0065845
71,1340.77,1.87441,2.11536,1.91774,0.47062,0.54554,0.502,0.20914,1.99951,1.8025,1.89762,0.006535,0.006535,0.006535
72,1358.43,1.86704,2.0862,1.91273,0.46279,0.53507,0.44416,0.17978,2.0163,1.87347,1.92342,0.0064855,0.0064855,0.0064855
73,1380.28,1.8471,2.0987,1.9286,0.49538,0.54284,0.50669,0.20823,1.99573,1.74275,1.87034,0.006436,0.006436,0.006436
74,1401.77,1.84247,2.08984,1.89716,0.45499,0.57779,0.51332,0.21496,1.9757,1.74303,1.86429,0.0063865,0.0063865,0.0063865
75,1423.66,1.83542,2.07188,1.90094,0.4757,0.51877,0.521,0.21907,1.99084,1.79027,1.87907,0.006337,0.006337,0.006337
76,1445.28,1.8474,2.03948,1.89139,0.51078,0.58031,0.55588,0.22633,1.99337,1.79846,1.87503,0.0062875,0.0062875,0.0062875
77,1467.06,1.83434,2.05077,1.88623,0.47661,0.56909,0.54841,0.22922,1.97097,1.69,1.85544,0.006238,0.006238,0.006238
78,1488.96,1.82757,2.03627,1.87311,0.5774,0.56693,0.55692,0.2373,1.98128,1.73736,1.86153,0.0061885,0.0061885,0.0061885
79,1510.64,1.81956,2.04405,1.87767,0.572,0.49414,0.5598,0.23678,1.97167,1.74981,1.83559,0.006139,0.006139,0.006139
80,1532.15,1.82861,2.01673,1.86791,0.58391,0.53028,0.57428,0.24745,1.95973,1.70616,1.83971,0.0060895,0.0060895,0.0060895
