epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1135.34,1.93876,2.24848,1.89944,0.40886,0.48925,0.43657,0.17781,2.05449,1.84838,1.8447,0.003565,0.003565,0.003565
67,1152.04,1.89419,2.18577,1.86662,0.43176,0.51408,0.42721,0.17202,2.07023,1.88651,1.87118,0.003466,0.003466,0.003466
68,1168.79,1.92119,2.22476,1.88998,0.44956,0.44084,0.44078,0.17586,2.0336,1.89666,1.83209,0.003367,0.003367,0.003367
69,1185.58,1.88701,2.16631,1.87892,0.45785,0.53032,0.49097,0.19671,2.0277,1.85222,1.84543,0.003268,0.003268,0.003268
70,1202.12,1.87931,2.14371,1.86259,0.42926,0.56876,0.50266,0.20375,2.04025,1.81136,1.84974,0.003169,0.003169,0.003169
71,1219.14,1.89492,2.13133,1.86111,0.41195,0.53258,0.48212,0.19923,2.05844,1.80534,1.86824,0.00307,0.00307,0.00307
72,1235.88,1.89259,2.11736,1.84119,0.45748,0.57209,0.52615,0.21274,2.02027,1.73022,1.82181,0.002971,0.002971,0.002971
73,1253.02,1.85654,2.1182,1.85974,0.4705,0.47652,0.51108,0.19959,2.05775,1.71766,1.84055,0.002872,0.002872,0.002872
74,1269.63,1.85339,2.08332,1.82234,0.49691,0.49381,0.50171,0.20395,2.02535,1.71797,1.83108,0.002773,0.002773,0.002773
75,1286.51,1.84586,2.08593,1.83699,0.39986,0.57092,0.48354,0.20322,2.03367,1.76046,1.83493,0.002674,0.002674,0.002674
76,1303.13,1.84922,2.04713,1.83105,0.42235,0.55167,0.50066,0.2052,2.02395,1.73381,1.82109,0.002575,0.002575,0.002575
77,1319.89,1.86052,2.08691,1.82968,0.55267,0.47101,0.5528,0.22326,1.99769,1.68502,1.80481,0.002476,0.002476,0.002476
78,1336.76,1.83647,2.04125,1.81603,0.49499,0.53864,0.53906,0.23172,2.00262,1.6419,1.80621,0.002377,0.002377,0.002377
79,1353.85,1.83679,2.0498,1.81411,0.50353,0.49164,0.55102,0.22668,2.01307,1.67781,1.79129,0.002278,0.002278,0.002278
80,1370.72,1.82717,2.02189,1.79838,0.54665,0.52183,0.55626,0.23321,1.98999,1.60823,1.79062,0.002179,0.002179,0.002179
81,1388.4,1.84205,2.01644,1.80713,0.52492,0.50747,0.55598,0.22845,2.02046,1.72577,1.8025,0.00208,0.00208,0.00208
82,1410.58,1.83315,2.01854,1.8134,0.52508,0.60626,0.57975,0.24097,2.01438,1.62684,1.79958,0.001981,0.001981,0.001981
83,1432.57,1.83111,2.00547,1.79428,0.5275,0.60401,0.58902,0.24229,1.99458,1.62167,1.79371,0.001882,0.001882,0.001882
84,1450.68,1.80906,1.98335,1.81204,0.54848,0.55364,0.58336,0.24644,2.01631,1.59717,1.81319,0.001783,0.001783,0.001783
85,1467.64,1.80669,1.98194,1.78651,0.52652,0.58163,0.57654,0.24651,1.98267,1.59145,1.78125,0.001684,0.001684,0.001684
86,1484.34,1.81309,1.95622,1.80643,0.56107,0.56057,0.58318,0.24075,1.98383,1.58403,1.79836,0.001585,0.001585,0.001585
87,1500.83,1.79255,1.95677,1.78749,0.53365,0.62781,0.61946,0.26829,1.97028,1.58125,1.77153,0.001486,0.001486,0.001486
88,1517.63,1.79303,1.94849,1.78907,0.52338,0.57742,0.59398,0.26115,1.94399,1.57665,1.75232,0.001387,0.001387,0.001387
89,1534.56,1.7884,1.94735,1.77905,0.59492,0.54591,0.6051,0.24881,1.98634,1.61925,1.78376,0.001288,0.001288,0.001288
