epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,938.211,2.12454,2.98734,2.4246,0.28948,0.34094,0.27562,0.11143,2.21667,2.48734,2.42546,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,951.982,2.10064,3.00503,2.4126,0.48298,0.29533,0.31235,0.13489,2.16707,2.39076,2.37573,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,965.53,2.11905,3.03992,2.44163,0.29551,0.37478,0.27562,0.11579,2.1989,2.41043,2.36958,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,979.04,2.12348,2.9851,2.40458,0.33315,0.37165,0.32291,0.14102,2.20116,2.32825,2.37736,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,992.592,2.1252,3.01604,2.42777,0.32621,0.37938,0.31487,0.13605,2.15088,2.31614,2.35471,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,1006.21,2.08625,2.93123,2.39245,0.62199,0.30471,0.3381,0.14685,2.14643,2.25876,2.34116,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,1019.79,2.11349,2.97744,2.40173,0.35655,0.35759,0.30178,0.13305,2.12782,2.41272,2.34557,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,1033.25,2.09125,2.90988,2.38602,0.37922,0.30444,0.33352,0.14514,2.12503,2.28494,2.33183,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,1046.73,2.10155,2.93149,2.3712,0.34822,0.36415,0.33816,0.15001,2.1062,2.2667,2.31913,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,1060.32,2.04137,2.87667,2.36682,0.33512,0.39757,0.34451,0.14328,2.15183,2.24873,2.32398,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,1073.79,2.06439,2.85395,2.36921,0.50979,0.35112,0.36046,0.15691,2.10602,2.2234,2.33025,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,1087.36,2.05019,2.89845,2.35913,0.50503,0.36491,0.3772,0.16182,2.12375,2.22429,2.32837,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,1100.97,2.06585,2.85714,2.33877,0.42157,0.36442,0.35687,0.15746,2.1099,2.25143,2.29137,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,1114.48,2.04569,2.87848,2.33715,0.46973,0.40952,0.39686,0.17494,2.11783,2.18481,2.32054,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,1128.04,2.03849,2.84874,2.34395,0.36168,0.43809,0.37068,0.16144,2.11652,2.2453,2.28542,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,1141.58,2.05639,2.86929,2.35396,0.40752,0.43278,0.39143,0.17643,2.10339,2.16113,2.27483,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,1155.19,2.06124,2.82347,2.33132,0.42402,0.42077,0.40211,0.18341,2.10013,2.16741,2.28586,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,1168.66,2.03483,2.84713,2.33692,0.41526,0.4578,0.41424,0.19119,2.07189,2.17378,2.28839,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,1182.25,2.02909,2.8157,2.32902,0.46587,0.41861,0.41683,0.18477,2.07978,2.16467,2.28522,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,1195.73,2.03193,2.82366,2.31446,0.42387,0.4197,0.40655,0.18623,2.07091,2.16324,2.25455,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,1209.23,2.01168,2.77169,2.32421,0.44801,0.43259,0.42514,0.18707,2.05743,2.15692,2.24972,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,1222.83,2.03014,2.74725,2.2957,0.45041,0.46873,0.42912,0.19489,2.05396,2.12863,2.25736,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,1236.29,2.00314,2.76075,2.28648,0.39127,0.45669,0.42368,0.18717,2.0668,2.13582,2.25856,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,1249.86,1.99984,2.7907,2.30139,0.43124,0.44295,0.42497,0.18465,2.05221,2.0928,2.24833,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
