epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1610.43,1.68791,1.63553,1.81742,0.85037,0.74978,0.82697,0.38296,1.85233,1.26631,1.84374,0.005446,0.005446,0.005446
94,1627.62,1.67321,1.61057,1.79272,0.8097,0.71237,0.80732,0.38162,1.89853,1.27337,1.84536,0.0053965,0.0053965,0.0053965
95,1645.05,1.66681,1.58804,1.7729,0.85767,0.67413,0.82605,0.39111,1.84001,1.28393,1.80719,0.005347,0.005347,0.005347
96,1662.57,1.66523,1.59677,1.81763,0.80652,0.74305,0.81361,0.38497,1.82298,1.24293,1.81798,0.0052975,0.0052975,0.0052975
97,1679.64,1.66687,1.62133,1.80132,0.81714,0.72932,0.82304,0.39152,1.82231,1.27192,1.81487,0.005248,0.005248,0.005248
98,1696.8,1.63537,1.58894,1.78681,0.82795,0.75505,0.82805,0.4001,1.82276,1.25142,1.79986,0.0051985,0.0051985,0.0051985
99,1713.9,1.63357,1.56658,1.78052,0.82406,0.71944,0.81252,0.38358,1.82394,1.24447,1.80637,0.005149,0.005149,0.005149
100,1730.95,1.64273,1.56505,1.76989,0.83135,0.71682,0.82017,0.37827,1.85724,1.22178,1.8214,0.0050995,0.0050995,0.0050995
101,1748.1,1.65326,1.55461,1.78645,0.85265,0.74879,0.84723,0.39422,1.86675,1.18277,1.81801,0.00505,0.00505,0.00505
102,1765.23,1.62141,1.54514,1.77706,0.80572,0.71164,0.81601,0.3861,1.83618,1.21159,1.794,0.0050005,0.0050005,0.0050005
103,1782.34,1.63722,1.55918,1.77362,0.82647,0.75899,0.84125,0.39745,1.83731,1.19541,1.8216,0.004951,0.004951,0.004951
104,1799.37,1.62696,1.50561,1.76699,0.84698,0.74547,0.84569,0.39217,1.8569,1.22302,1.81371,0.0049015,0.0049015,0.0049015
105,1816.62,1.64431,1.54728,1.79765,0.81363,0.75093,0.83399,0.39442,1.82897,1.22823,1.81138,0.004852,0.004852,0.004852
106,1833.8,1.64374,1.54973,1.77881,0.83465,0.74812,0.85203,0.39502,1.8386,1.1925,1.81591,0.0048025,0.0048025,0.0048025
107,1850.81,1.62849,1.51487,1.7506,0.82101,0.75504,0.83796,0.40356,1.81258,1.23295,1.78533,0.004753,0.004753,0.004753
108,1868.05,1.61731,1.52973,1.79343,0.77917,0.74885,0.79031,0.36952,1.85152,1.23045,1.81711,0.0047035,0.0047035,0.0047035
109,1885.26,1.62873,1.51066,1.76379,0.84323,0.71415,0.8311,0.40203,1.82326,1.18747,1.81056,0.004654,0.004654,0.004654
110,1902.79,1.62551,1.50144,1.76916,0.84667,0.80376,0.86692,0.40933,1.80984,1.19273,1.80736,0.0046045,0.0046045,0.0046045
111,1920.88,1.62677,1.5405,1.77147,0.85383,0.80779,0.87258,0.40779,1.83443,1.16402,1.80555,0.004555,0.004555,0.004555
112,1938.9,1.61152,1.51134,1.77281,0.87535,0.79334,0.87629,0.41989,1.8168,1.16582,1.79715,0.0045055,0.0045055,0.0045055
113,1957.48,1.61478,1.50398,1.76284,0.88149,0.76561,0.8672,0.41795,1.8326,1.17179,1.81163,0.004456,0.004456,0.004456
114,1975.11,1.60202,1.49767,1.7597,0.84609,0.77466,0.86112,0.40922,1.85716,1.16926,1.83363,0.0044065,0.0044065,0.0044065
115,1992.77,1.62544,1.4666,1.75186,0.8577,0.79803,0.85901,0.4065,1.79645,1.12478,1.78691,0.004357,0.004357,0.004357
116,2010.7,1.60673,1.45512,1.7515,0.88535,0.80396,0.87572,0.42035,1.79208,1.11255,1.79705,0.0043075,0.0043075,0.0043075
117,2028.85,1.60806,1.47944,1.73592,0.8813,0.76216,0.85756,0.41978,1.81014,1.14603,1.80632,0.004258,0.004258,0.004258
118,2047.04,1.58653,1.45821,1.72765,0.8535,0.79306,0.8693,0.41876,1.78593,1.12564,1.78475,0.0042085,0.0042085,0.0042085
119,2065.18,1.58243,1.45611,1.7382,0.89228,0.78607,0.88436,0.43157,1.80554,1.11627,1.78063,0.004159,0.004159,0.004159
120,2083.11,1.58142,1.45596,1.72942,0.8599,0.80628,0.88394,0.42049,1.79944,1.1151,1.77913,0.0041095,0.0041095,0.0041095
121,2101.35,1.59629,1.47579,1.73413,0.86774,0.79335,0.87609,0.43229,1.80022,1.09204,1.76996,0.00406,0.00406,0.00406
122,2119.47,1.57743,1.41651,1.71184,0.86374,0.78895,0.88264,0.42853,1.7826,1.10582,1.76664,0.0040105,0.0040105,0.0040105
123,2137.31,1.5794,1.43072,1.71164,0.89647,0.80467,0.89147,0.42109,1.8246,1.12857,1.79287,0.003961,0.003961,0.003961
124,2155.4,1.60109,1.45274,1.75505,0.85728,0.83965,0.89358,0.43549,1.7901,1.11941,1.7778,0.0039115,0.0039115,0.0039115
125,2173.56,1.58397,1.40618,1.72615,0.87512,0.84381,0.89879,0.43018,1.80435,1.09206,1.78095,0.003862,0.003862,0.003862
126,2191.75,1.55097,1.40237,1.71028,0.88936,0.82818,0.89805,0.43354,1.77628,1.06001,1.76797,0.0038125,0.0038125,0.0038125
127,2209.65,1.57345,1.41638,1.73234,0.8436,0.83516,0.8831,0.42402,1.81338,1.11692,1.8042,0.003763,0.003763,0.003763
128,2227.94,1.55203,1.39108,1.68581,0.8606,0.81257,0.88582,0.42831,1.79031,1.0943,1.78859,0.0037135,0.0037135,0.0037135
129,2246.08,1.58128,1.40128,1.71181,0.83338,0.82901,0.87635,0.42608,1.79413,1.11788,1.7911,0.003664,0.003664,0.003664
130,2263.83,1.55751,1.40482,1.70798,0.88162,0.81249,0.88962,0.43243,1.80064,1.0721,1.77902,0.0036145,0.0036145,0.0036145
131,2281.97,1.55885,1.38843,1.71238,0.88387,0.8153,0.89498,0.43655,1.77899,1.06815,1.7746,0.003565,0.003565,0.003565
132,2299.7,1.55864,1.37032,1.69422,0.87746,0.84423,0.88875,0.43098,1.79583,1.05131,1.78047,0.0035155,0.0035155,0.0035155
133,2317.81,1.54092,1.39301,1.68787,0.87993,0.82432,0.89214,0.42823,1.79668,1.08059,1.78473,0.003466,0.003466,0.003466
134,2335.29,1.54661,1.34147,1.68904,0.89099,0.84126,0.89597,0.43228,1.79611,1.05744,1.77147,0.0034165,0.0034165,0.0034165
135,2353.18,1.53,1.34337,1.68296,0.86844,0.85845,0.90516,0.43289,1.81348,1.03466,1.80842,0.003367,0.003367,0.003367
136,2370.36,1.54037,1.33684,1.69916,0.89111,0.84512,0.89523,0.44266,1.78605,1.04036,1.78084,0.0033175,0.0033175,0.0033175
137,2387.7,1.55441,1.3675,1.71336,0.90381,0.82859,0.90282,0.4462,1.78151,1.03649,1.76284,0.003268,0.003268,0.003268
138,2405.58,1.54779,1.35072,1.69881,0.86897,0.7983,0.88054,0.42673,1.79583,1.08307,1.78221,0.0032185,0.0032185,0.0032185
139,2423.42,1.54125,1.38036,1.69561,0.9022,0.80645,0.89398,0.44312,1.76449,1.07085,1.76051,0.003169,0.003169,0.003169
140,2441.17,1.53516,1.34324,1.69079,0.87188,0.82427,0.88536,0.44072,1.7568,1.08416,1.76679,0.0031195,0.0031195,0.0031195
141,2458.84,1.53541,1.36712,1.70695,0.89935,0.85319,0.90663,0.44669,1.77179,1.02153,1.75441,0.00307,0.00307,0.00307
142,2477.12,1.52401,1.35247,1.68825,0.90327,0.83529,0.90842,0.45219,1.79231,1.03374,1.7634,0.0030205,0.0030205,0.0030205
143,2495.13,1.52605,1.33012,1.66953,0.91373,0.8326,0.91358,0.44412,1.77977,1.02279,1.78285,0.002971,0.002971,0.002971
144,2513.05,1.52226,1.30793,1.6885,0.9117,0.83584,0.90816,0.45094,1.76911,1.00625,1.76972,0.0029215,0.0029215,0.0029215
145,2531.02,1.53531,1.3228,1.69508,0.89067,0.85818,0.89813,0.44288,1.74347,1.03743,1.73954,0.002872,0.002872,0.002872
146,2549.14,1.55605,1.3827,1.70123,0.85738,0.83382,0.89254,0.4434,1.79551,1.03815,1.78311,0.0028225,0.0028225,0.0028225
147,2566.97,1.50721,1.34336,1.68091,0.88328,0.85163,0.90589,0.44377,1.75817,1.01785,1.75136,0.002773,0.002773,0.002773
148,2586.23,1.53264,1.3179,1.67868,0.90019,0.86435,0.91253,0.43901,1.77953,1.01518,1.76623,0.0027235,0.0027235,0.0027235
149,2603.87,1.52415,1.30022,1.67028,0.88306,0.86065,0.91342,0.44721,1.75921,1.00061,1.76806,0.002674,0.002674,0.002674
150,2621.07,1.52277,1.32312,1.65304,0.88527,0.85483,0.9078,0.45418,1.75261,0.98103,1.75423,0.0026245,0.0026245,0.0026245
151,2638.97,1.48898,1.2724,1.64488,0.89164,0.87592,0.9144,0.45627,1.746,1.00287,1.75384,0.002575,0.002575,0.002575
152,2656.56,1.50394,1.28835,1.65818,0.89413,0.85889,0.899,0.44927,1.77465,0.99861,1.76812,0.0025255,0.0025255,0.0025255
