epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,735.202,2.19336,2.56418,1.95071,0.27705,0.36847,0.30801,0.1025,2.32662,2.25417,2.09911,0.007129,0.007129,0.007129
60,747.968,2.20516,2.53855,1.92589,0.4698,0.30417,0.29558,0.10789,2.36553,2.36786,2.16371,0.0070795,0.0070795,0.0070795
61,760.679,2.17332,2.50263,1.90997,0.35335,0.46271,0.34479,0.12893,2.32855,2.27579,2.11858,0.00703,0.00703,0.00703
62,773.259,2.1812,2.49558,1.91951,0.46024,0.32783,0.28922,0.09843,2.32612,2.26587,2.08769,0.0069805,0.0069805,0.0069805
63,785.955,2.15893,2.45051,1.89634,0.30217,0.48305,0.3595,0.12803,2.26838,2.18955,2.0715,0.006931,0.006931,0.006931
64,798.701,2.14828,2.43687,1.89248,0.30142,0.40442,0.33206,0.11282,2.27818,2.18213,2.06699,0.0068815,0.0068815,0.0068815
65,811.46,2.1623,2.41664,1.89154,0.36035,0.46074,0.35023,0.12612,2.29107,2.18695,2.07066,0.006832,0.006832,0.006832
66,824.225,2.17116,2.45942,1.92422,0.33051,0.48603,0.37037,0.14151,2.24385,2.12718,2.03242,0.0067825,0.0067825,0.0067825
67,837.018,2.15621,2.4093,1.88872,0.37704,0.42886,0.35416,0.12471,2.29404,2.21925,2.08448,0.006733,0.006733,0.006733
68,849.7,2.14633,2.40716,1.88903,0.47327,0.38347,0.37383,0.13942,2.26247,2.14782,2.04209,0.0066835,0.0066835,0.0066835
69,862.381,2.0882,2.34539,1.84283,0.33689,0.41403,0.35228,0.12974,2.29131,2.1361,2.11869,0.006634,0.006634,0.006634
70,875.033,2.1362,2.33744,1.85558,0.29753,0.45535,0.38897,0.14898,2.28949,2.08659,2.06258,0.0065845,0.0065845,0.0065845
71,887.751,2.10373,2.31075,1.85042,0.48591,0.35225,0.35134,0.14065,2.23444,2.12231,2.03139,0.006535,0.006535,0.006535
72,900.518,2.09635,2.30826,1.84089,0.41213,0.46267,0.3656,0.13602,2.23991,2.15848,2.02727,0.0064855,0.0064855,0.0064855
73,913.298,2.07759,2.29499,1.85002,0.52043,0.39549,0.43864,0.16366,2.23933,2.07369,2.03287,0.006436,0.006436,0.006436
74,926.136,2.07263,2.25718,1.83879,0.30662,0.50562,0.37352,0.13185,2.2186,2.1,2.06287,0.0063865,0.0063865,0.0063865
75,938.79,2.06287,2.29526,1.82828,0.52893,0.39299,0.38894,0.15368,2.20398,2.05598,1.98549,0.006337,0.006337,0.006337
76,951.483,2.05264,2.20531,1.80514,0.38698,0.51889,0.42368,0.17699,2.17277,1.98451,1.97428,0.0062875,0.0062875,0.0062875
77,964.177,2.03137,2.20961,1.80042,0.46621,0.51176,0.44974,0.18786,2.1471,2.03389,1.9623,0.006238,0.006238,0.006238
78,976.791,2.02276,2.18854,1.77537,0.46214,0.44054,0.4208,0.16978,2.11633,2.01719,1.92892,0.0061885,0.0061885,0.0061885
79,989.551,2.04727,2.21416,1.80362,0.34771,0.56043,0.46678,0.18292,2.14441,1.93144,1.9467,0.006139,0.006139,0.006139
